scorer,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker
bodyparts,paw_l,paw_l,paw_l,paw_r,paw_r,paw_r
coords,x,y,likelihood,x,y,likelihood
0,37.33696746826172,71.90367889404297,0.9982466697692872,54.20156097412109,75.33393096923828,0.9992430806159972
1,37.33696746826172,71.90367889404297,0.9982466697692872,54.20156097412109,75.33393096923828,0.9992430806159972
2,37.33696746826172,71.90367889404297,0.9982466697692872,54.20156097412109,75.33393096923828,0.9992430806159972
3,37.30184555053711,71.89523315429688,0.998470425605774,54.26078414916992,75.44756317138672,0.9987072348594666
4,37.335567474365234,71.90730285644531,0.9982337951660156,54.26284408569336,75.45519256591797,0.9986860752105712
5,37.50550079345703,71.89169311523438,0.9993422627449036,54.234893798828125,75.31908416748047,0.9990779757499696
6,37.51019287109375,71.88919067382812,0.9993587136268616,54.24257659912109,75.31777954101562,0.9990349411964417
7,37.509376525878906,71.86858367919922,0.9994269609451294,54.24712371826172,75.31053161621094,0.9990076422691344
8,37.50226211547852,71.76665496826172,0.9997045993804932,54.28064727783203,75.3169174194336,0.9988162517547609
9,37.55396270751953,71.7841567993164,0.999671757221222,54.34072494506836,75.33122253417969,0.9983218908309937
10,37.51989364624024,71.80110168457031,0.9996312856674194,54.27766036987305,75.3285903930664,0.998806357383728
11,37.550819396972656,71.78936004638672,0.9996607303619384,54.31136322021485,75.32634735107422,0.9985599517822266
12,37.55807495117188,71.89482879638672,0.9992971420288086,54.22824478149414,75.34491729736328,0.999083399772644
13,37.55821990966797,71.80732727050781,0.999618411064148,54.27161407470703,75.38497924804688,0.9988439083099364
14,37.55837631225586,71.8031234741211,0.9996291399002076,54.26866912841797,75.3863525390625,0.9988599419593812
15,37.55257415771485,71.80105590820312,0.9996346235275269,54.26543045043945,75.38916015625,0.9988775253295898
16,37.547142028808594,71.80220031738281,0.99963116645813,54.269439697265625,75.39259338378906,0.9988508224487304
17,37.57621383666992,71.767578125,0.9997057914733888,54.32511520385742,75.38232421875,0.9984355568885804
18,37.6037712097168,71.77169036865234,0.999698042869568,54.34787368774414,75.39960479736328,0.99823260307312
