scorer,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker
bodyparts,L1A,L1A,L1A,L1B,L1B,L1B,L2A,L2A,L2A,L2B,L2B,L2B,L3A,L3A,L3A,L3B,L3B,L3B,R1A,R1A,R1A,R1B,R1B,R1B,R2A,R2A,R2A,R2B,R2B,R2B,R3A,R3A,R3A,R3B,R3B,R3B
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,206.5824,119.2322,0.9998,221.1053,140.3309,0.9956,230.9402,125.1964,0.9979,246.0295,145.3904,1.0000,252.5345,130.6210,0.9980,265.6809,152.1387,0.9992,220.6376,102.2192,1.0000,225.9614,128.2344,0.9996,243.0342,118.0055,0.9998,250.4192,134.7317,0.9996,264.5208,123.8327,0.9995,274.4240,139.0942,0.9989
1,206.4093,119.1975,0.9999,220.5744,140.3218,0.9972,230.7064,125.1484,0.9987,245.7952,145.3880,1.0000,252.4233,130.5116,0.9985,265.4009,152.0997,0.9981,220.5189,102.1053,0.9981,225.7441,128.2327,0.9996,242.9465,117.9029,0.9998,250.1779,134.6891,0.9998,264.1198,123.7435,0.9998,274.2293,138.9848,0.9995
2,206.3121,119.0564,0.9999,220.4771,140.3817,0.9971,230.6388,125.1826,0.9988,245.7451,145.4210,1.0000,252.3661,130.5425,0.9988,265.3637,152.1291,0.9983,220.6934,102.0860,0.9982,225.9186,128.2323,0.9996,242.9382,117.9831,0.9998,250.2094,134.7566,0.9997,264.1455,123.8247,0.9997,274.1941,139.1130,0.9994
3,206.4405,119.1819,0.9999,220.7186,140.5384,0.9956,230.7270,125.2945,0.9985,245.8324,145.5217,1.0000,252.2918,130.6047,0.9990,265.5146,152.0968,0.9975,220.5853,102.1673,0.9975,225.9255,128.2383,0.9996,242.9441,118.0262,0.9998,250.3078,134.8295,0.9996,264.1458,123.9190,0.9995,274.2467,139.0673,0.9994
4,206.5514,119.1764,0.9999,220.9662,140.4582,0.9961,230.8165,125.3515,0.9981,245.9657,145.5084,1.0000,252.4381,130.6710,0.9985,265.7359,152.0922,0.9994,220.6630,102.2205,1.0000,226.1179,128.2444,0.9996,243.1002,118.0770,0.9997,250.4261,134.8137,0.9995,264.3888,123.9689,0.9993,274.2966,139.1064,0.9993
5,206.3989,119.1501,0.9999,220.6938,140.4169,0.9969,230.8063,125.2844,0.9983,245.9732,145.4207,1.0000,252.4038,130.5678,0.9986,265.8134,152.1175,0.9994,220.4990,102.2430,1.0000,226.2210,128.2038,0.9996,243.0881,118.0832,0.9997,250.4622,134.7895,0.9995,264.4300,123.8523,0.9995,274.2983,139.1041,0.9993
6,206.5260,119.1380,0.9999,220.6180,140.4017,0.9970,230.9198,125.3425,0.9979,246.1032,145.4988,1.0000,252.5143,130.6418,0.9982,265.8673,152.1538,0.9992,220.5903,102.2515,1.0000,226.2076,128.3192,0.9994,243.1687,118.1353,0.9996,250.5833,134.8528,0.9992,264.5442,123.9371,0.9993,274.3729,139.1788,0.9991
7,206.5698,118.9511,0.9999,220.4167,140.2075,0.9982,230.8876,125.2097,0.9983,246.0670,145.3291,1.0000,252.5264,130.5518,0.9981,265.8700,152.0498,0.9995,220.7006,102.1569,0.9975,226.2138,128.2513,0.9996,243.2017,118.0683,0.9996,250.5863,134.7700,0.9993,264.5170,123.9113,0.9994,274.2493,139.0698,0.9994
