scorer,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker
bodyparts,L1A,L1A,L1A,L1B,L1B,L1B,L2A,L2A,L2A,L2B,L2B,L2B,L3A,L3A,L3A,L3B,L3B,L3B,R1A,R1A,R1A,R1B,R1B,R1B,R2A,R2A,R2A,R2B,R2B,R2B,R3A,R3A,R3A,R3B,R3B,R3B
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
14,193.8626,161.4438,0.9990,209.2853,196.6832,0.9981,217.4505,174.0706,0.9983,237.3280,204.9763,0.9999,241.2476,183.7930,0.9997,257.0780,219.3614,1.0000,228.2335,151.4251,0.9987,229.5930,188.0989,0.9994,241.8669,174.3089,0.9990,248.2958,198.9275,0.9984,259.3293,182.2099,0.9999,273.3112,212.0992,0.9997
15,193.8764,161.4283,0.9990,209.3152,196.7020,0.9979,217.4655,174.1066,0.9982,237.2571,204.9615,0.9999,241.1756,183.8402,0.9998,257.0405,219.4599,0.9999,228.3203,151.3661,0.9988,229.7190,188.2368,0.9991,241.9007,174.3860,0.9988,248.3638,198.9816,0.9981,259.4071,182.2831,0.9999,273.5322,212.1432,0.9997
16,193.8652,161.4069,0.9991,209.2590,196.7358,0.9982,217.4484,174.0555,0.9984,237.2020,204.9461,0.9999,241.0718,183.8315,0.9998,256.8087,219.4274,1.0000,228.3830,151.3574,0.9988,229.7515,188.2954,0.9989,241.9045,174.3776,0.9988,248.4183,198.9435,0.9979,259.4425,182.2717,0.9999,273.5473,212.1838,0.9997
17,193.7472,161.2160,0.9994,209.2879,196.6916,0.9981,217.5576,174.0579,0.9976,237.2143,204.9267,0.9999,241.1539,183.8264,0.9998,257.0287,219.4124,0.9999,228.3497,151.3137,0.9990,229.5983,188.3765,0.9992,242.0011,174.3394,0.9987,248.3334,198.9179,0.9984,259.4377,182.2995,0.9999,273.5334,212.2462,0.9996
18,193.6096,160.9144,0.9996,209.7105,196.5305,1.0000,217.5958,173.9010,0.9999,237.1963,204.9190,0.9999,241.1969,183.6604,0.9946,256.9837,219.3368,1.0000,228.3437,151.3238,0.9990,229.5442,188.2777,0.9994,241.9675,174.2554,0.9988,248.2099,198.9034,0.9988,259.3793,182.2413,0.9999,273.5508,212.1744,0.9997
19,193.5163,160.7299,0.9948,209.8427,196.4809,1.0000,217.5744,173.8655,0.9973,237.1127,204.9209,0.9999,241.0839,183.5728,0.9957,256.9945,219.3212,1.0000,228.4791,151.2220,0.9992,229.6325,188.2888,0.9993,242.0414,174.2440,0.9987,248.3296,198.8925,0.9984,259.4237,182.2584,0.9999,273.7659,212.0612,0.9997
20,193.4781,160.5866,0.9966,209.7912,196.3827,1.0000,217.4005,173.7053,0.9983,237.0168,204.7858,1.0000,241.0345,183.4152,0.9971,256.9289,219.1537,1.0000,228.5254,151.1686,0.9992,229.6163,188.2696,0.9993,242.1175,174.1268,0.9986,248.3885,198.7900,0.9982,259.4819,182.2372,0.9999,273.9128,211.9170,0.9998
21,193.3006,160.3880,0.9981,209.8697,196.2971,1.0000,217.3499,173.7709,0.9983,237.0227,204.8838,1.0000,241.1152,183.3600,0.9973,256.7748,219.2755,0.9981,228.4522,151.1268,0.9993,229.4330,188.2152,0.9995,242.1396,174.1073,0.9985,248.2324,198.8370,0.9988,259.3961,182.2338,0.9999,273.6619,211.9557,0.9998
22,193.2565,160.1039,0.9992,210.2103,196.1897,0.9999,217.3124,173.6450,0.9985,236.9738,204.7938,1.0000,241.1354,183.2595,0.9980,256.7513,219.2285,0.9983,228.5449,151.2028,0.9992,229.4700,188.3114,0.9995,242.1297,174.0847,0.9987,248.1521,198.8033,0.9991,259.2770,182.1845,0.9999,273.5449,211.9140,0.9998
23,193.1525,160.0345,0.9994,210.2612,196.1497,0.9999,217.1143,173.5974,0.9991,236.9008,204.8458,1.0000,241.0797,183.1667,0.9984,256.6239,219.3163,0.9989,228.4635,151.0903,0.9995,229.3690,188.3194,0.9995,242.0698,174.0304,0.9989,248.0282,198.8128,0.9993,259.1950,182.1152,1.0000,273.3938,211.9551,0.9998
