scorer,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker
bodyparts,L1A,L1A,L1A,L1B,L1B,L1B,L2A,L2A,L2A,L2B,L2B,L2B,L3A,L3A,L3A,L3B,L3B,L3B,R1A,R1A,R1A,R1B,R1B,R1B,R2A,R2A,R2A,R2B,R2B,R2B,R3A,R3A,R3A,R3B,R3B,R3B
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,194.6980,161.2993,0.9946,214.9215,199.4001,0.9985,219.3918,172.1506,0.9976,238.9962,206.6580,1.0000,240.8939,182.5884,1.0000,255.9773,216.1115,0.9998,227.5841,151.0407,0.9958,228.8542,189.0187,0.9999,240.7985,171.1990,0.9992,251.6402,199.2272,0.9991,261.8850,181.6702,0.9989,276.3207,206.7807,1.0000
1,194.3525,160.9727,0.9970,215.0614,199.4154,0.9980,219.6316,171.8357,0.9959,238.9899,206.7975,1.0000,240.9571,182.5634,0.9999,255.8828,216.1919,0.9998,227.7856,150.9926,0.9937,229.2921,189.0105,0.9996,241.0239,171.2083,0.9991,251.7265,199.2463,0.9991,261.9786,181.8099,0.9985,276.4747,206.7819,0.9999
2,194.3174,160.8588,0.9971,214.8927,199.4212,0.9979,219.7166,171.7439,1.0000,239.0657,206.8015,1.0000,240.9661,182.5324,1.0000,255.7551,216.0039,0.9999,227.9786,151.1398,0.9993,229.4464,189.0272,0.9993,241.0676,171.2451,0.9989,251.7345,199.2724,0.9990,261.8709,181.8153,0.9987,276.6863,206.7203,0.9998
3,194.2484,161.0096,0.9978,214.8564,199.6750,0.9998,219.5837,171.9610,0.9962,239.0107,206.9417,1.0000,240.9529,182.6947,0.9999,255.6982,216.1578,0.9999,227.8216,151.3231,0.9926,229.4939,189.2225,0.9992,241.0004,171.3716,0.9983,251.6904,199.3383,0.9989,261.8185,181.8907,0.9985,276.7324,206.6664,0.9998
4,194.3346,161.0790,0.9973,214.8476,199.7720,0.9998,219.6720,172.0267,0.9999,239.1958,206.9897,1.0000,241.1000,182.7633,0.9999,256.0020,216.1553,0.9998,227.9213,151.1669,0.9993,229.4585,189.2373,0.9993,241.1130,171.3891,0.9999,251.8571,199.3908,0.9985,261.9754,181.9701,0.9994,276.6992,206.7155,0.9998
5,194.4814,161.0473,0.9965,214.9299,199.7857,0.9998,219.5429,171.9248,0.9967,238.9521,206.9688,1.0000,240.8429,182.6779,1.0000,255.7501,216.2511,0.9999,227.7222,151.3123,0.9935,229.1028,189.3134,0.9997,240.9466,171.2896,0.9988,251.4725,199.3615,0.9988,261.7657,181.8016,0.9987,276.7194,206.6548,0.9998
6,194.6691,161.1252,0.9947,215.1316,200.0270,0.9997,219.5370,172.1446,0.9966,239.1364,207.1174,1.0000,241.0356,182.8444,0.9999,256.0092,216.3478,0.9998,227.6794,151.3560,0.9939,229.1948,189.5521,0.9996,241.0479,171.4028,0.9999,251.7569,199.5111,0.9979,261.8845,181.9227,0.9981,276.7308,206.8105,0.9998
7,194.6483,161.1053,0.9947,214.9422,200.3285,0.9997,219.4992,172.1950,0.9969,239.2112,207.3615,0.9999,241.0638,182.9660,0.9999,255.9449,216.5839,0.9996,227.6880,151.5369,0.9931,229.0716,189.6644,0.9997,241.0652,171.5117,0.9999,251.7886,199.6743,0.9998,261.9043,182.0205,0.9995,276.8769,206.9767,0.9997
