scorer,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker
bodyparts,L1A,L1A,L1A,L1B,L1B,L1B,L2A,L2A,L2A,L2B,L2B,L2B,L3A,L3A,L3A,L3B,L3B,L3B,R1A,R1A,R1A,R1B,R1B,R1B,R2A,R2A,R2A,R2B,R2B,R2B,R3A,R3A,R3A,R3B,R3B,R3B
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
14,379.3604,211.6345,1.0000,386.3083,252.4112,0.9996,412.1982,214.8072,0.9996,423.6102,250.4408,0.9985,442.5098,214.4077,0.9999,456.7268,251.7941,0.9951,354.8091,191.1578,0.9999,356.6857,233.4512,0.9978,404.8236,204.6773,0.9937,407.0509,237.8607,0.9991,437.9032,205.2003,1.0000,440.3970,235.4546,0.9998
15,379.5268,211.6595,1.0000,385.4301,252.3029,0.9998,412.2992,214.6609,0.9996,423.2647,250.5527,0.9991,442.4354,214.1018,0.9999,456.6470,251.7039,0.9956,354.7779,191.5224,0.9999,356.8655,233.6021,0.9976,404.9302,204.7504,0.9931,407.0144,237.8818,0.9992,437.7466,205.0515,0.9956,440.3404,235.3980,0.9988
16,379.4111,211.5583,1.0000,385.4553,251.8260,0.9999,412.2811,214.6518,0.9996,423.1296,250.3205,0.9993,442.4899,214.0996,0.9999,456.4998,251.5212,0.9945,354.6131,190.9621,1.0000,356.3575,232.9643,0.9995,404.8002,204.4932,0.9958,407.0018,237.7283,0.9992,437.6997,204.9811,0.9962,440.2047,235.3009,0.9990
17,379.5275,211.5381,1.0000,385.2629,251.2437,0.9978,412.6616,214.8025,0.9994,423.4496,250.1210,0.9989,442.7878,214.2781,0.9999,456.7919,251.4058,0.9982,355.1145,191.0840,0.9999,356.5680,232.5330,0.9917,405.1396,204.4840,0.9958,406.9452,237.5368,0.9993,437.9509,205.0864,1.0000,440.2838,235.2738,0.9989
18,379.2809,211.3982,0.9976,385.2547,251.4639,0.9960,412.6984,214.6612,0.9995,423.5954,250.1876,0.9986,442.8304,214.1722,0.9999,457.0019,251.6226,0.9970,355.0528,191.1690,0.9999,357.6676,232.8053,0.9996,405.3382,204.5798,0.9955,407.0341,237.6933,0.9993,437.9233,205.0509,0.9961,440.2764,235.2789,0.9989
19,379.3498,211.2637,0.9982,385.3246,251.1838,0.9977,412.7169,214.4606,0.9996,423.3636,250.2265,0.9991,442.7627,214.1231,0.9999,456.9258,251.7694,0.9962,355.0420,190.7718,0.9999,358.2023,232.7643,0.9995,405.3034,204.1920,0.9976,406.8895,237.5815,0.9994,437.9469,204.9490,0.9966,440.2072,235.1752,0.9990
20,379.2494,211.4149,0.9972,385.3857,251.2466,0.9975,412.4781,214.5080,0.9997,423.2876,250.3319,0.9992,442.5452,214.1415,0.9999,456.9603,251.8315,1.0000,354.8523,191.0640,0.9999,358.3016,232.7652,0.9994,405.0442,204.3471,0.9968,406.9481,237.6768,0.9994,437.8762,204.9884,0.9964,440.1738,235.1244,0.9990
21,378.5312,210.9942,0.9974,384.7783,251.2123,0.9942,411.9386,214.3192,0.9999,423.2765,250.0760,0.9990,442.2679,214.1154,1.0000,456.5607,251.8117,0.9942,354.6899,191.2098,0.9999,358.8670,232.9137,0.9990,404.8360,204.3211,0.9972,406.4897,237.6254,0.9997,437.6622,204.9303,0.9970,439.8581,235.1082,0.9994
22,378.8470,211.0189,0.9991,385.1350,250.8257,0.9988,412.2809,214.1300,0.9998,423.3934,250.0693,0.9990,442.4630,213.8134,0.9999,456.7740,251.7921,0.9965,354.5217,190.9905,0.9999,359.1024,233.1160,0.9987,404.9827,204.0112,0.9983,406.5717,237.5504,0.9997,437.7331,204.6069,0.9985,439.9772,234.8089,0.9911
23,378.5777,210.9687,0.9971,384.7513,250.9294,0.9948,411.8463,214.1707,0.9999,423.0447,250.2434,0.9994,442.2170,213.9227,1.0000,456.6097,251.9542,0.9977,354.4413,190.9424,0.9999,359.6131,233.3479,0.9997,404.8235,204.2119,0.9972,406.4471,237.7050,0.9997,437.5633,204.6677,0.9981,439.7299,234.9602,0.9995
