scorer,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker,heatmap_tracker
bodyparts,L1A,L1A,L1A,L1B,L1B,L1B,L2A,L2A,L2A,L2B,L2B,L2B,L3A,L3A,L3A,L3B,L3B,L3B,R1A,R1A,R1A,R1B,R1B,R1B,R2A,R2A,R2A,R2B,R2B,R2B,R3A,R3A,R3A,R3B,R3B,R3B
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
14,193.7747,161.5086,0.9995,211.6036,201.4032,0.9999,220.1099,174.5747,0.9985,239.5185,209.5341,0.9998,242.2299,184.9524,0.9976,256.1756,218.1141,0.9996,227.3367,151.9013,0.9975,227.4169,187.0830,0.9969,241.0795,172.4714,0.9987,249.8248,201.4932,0.9995,260.9631,181.2815,0.9998,274.7008,206.6848,0.9995
15,193.7491,161.5380,0.9995,211.4970,201.2511,0.9939,220.1375,174.4831,0.9988,239.6684,209.5480,0.9997,242.3521,184.8450,0.9994,256.1933,218.1951,0.9996,227.3876,151.8805,0.9974,227.4793,186.9824,0.9974,241.1589,172.3446,0.9990,249.9206,201.5013,0.9993,260.9839,181.2067,0.9998,274.8045,206.6227,0.9993
16,193.8103,161.5910,0.9994,211.5298,201.2708,0.9999,220.0795,174.4336,0.9990,239.7989,209.6041,0.9996,242.4201,184.8531,0.9994,256.2102,218.2103,0.9995,227.3652,151.9427,0.9970,227.4166,187.0399,0.9971,241.2027,172.3187,0.9991,249.9319,201.5036,0.9993,260.9767,181.1653,0.9998,274.8611,206.6045,0.9992
17,193.8580,161.5182,0.9994,211.6789,201.2019,0.9946,220.2177,174.4618,0.9989,239.7455,209.5949,0.9996,242.4664,184.8215,0.9995,256.3146,218.2890,0.9994,227.4138,151.8820,0.9972,227.5318,187.0228,0.9971,241.2459,172.3685,0.9989,249.9316,201.4809,0.9993,261.0856,181.2502,0.9998,274.7938,206.6652,0.9993
18,193.8597,161.4307,0.9995,211.7136,200.9960,0.9966,220.0953,174.4068,0.9990,239.6129,209.4884,0.9997,242.4188,184.7934,0.9995,256.1435,218.0311,0.9997,227.3400,151.7984,0.9979,227.5509,186.9947,0.9972,241.1999,172.3775,0.9989,249.8674,201.3476,0.9994,261.0991,181.2957,0.9997,274.7845,206.3968,0.9977
19,193.8720,161.4023,0.9995,211.6227,201.2376,0.9936,220.0626,174.2518,0.9994,239.6605,209.5697,0.9996,242.4562,184.7556,0.9996,256.2027,218.1029,0.9996,227.3384,151.7958,0.9979,227.4442,186.9502,0.9976,241.2318,172.2929,0.9991,249.8349,201.4527,0.9994,261.1078,181.2919,0.9997,274.8124,206.5484,0.9993
20,193.9177,161.3836,0.9995,211.5275,201.3441,0.9999,219.9877,174.2303,0.9994,239.7513,209.5150,0.9996,242.3861,184.6841,0.9997,256.3118,217.9688,0.9995,227.2838,151.7825,0.9980,227.3892,187.0526,0.9971,241.2551,172.2671,0.9992,249.8460,201.4521,0.9994,261.0903,181.2154,0.9998,274.8790,206.5251,0.9967
21,193.8791,161.2209,0.9996,211.5838,201.3693,0.9999,219.8835,174.1350,0.9996,239.6257,209.4351,0.9997,242.2900,184.6259,0.9978,256.2366,217.8604,0.9996,227.2056,151.6824,0.9985,227.1386,186.9137,0.9981,241.2160,172.2412,0.9992,249.6648,201.3490,0.9996,260.9673,181.2010,0.9998,274.7574,206.4336,0.9975
22,193.9133,161.1318,0.9997,211.4544,201.1927,0.9936,219.7228,174.0868,0.9996,239.4974,209.4069,0.9998,242.2542,184.5455,0.9980,256.1822,217.8886,0.9997,227.2710,151.6012,0.9986,227.1521,186.9787,0.9978,241.2549,172.1462,0.9994,249.6155,201.3865,0.9996,260.9942,181.2278,0.9998,274.6448,206.5022,0.9973
23,193.9825,161.0132,0.9996,211.2962,200.9941,0.9935,219.5121,173.9855,0.9972,239.3322,209.2991,0.9998,242.1682,184.4865,0.9984,256.0585,217.7766,0.9998,227.3111,151.5299,0.9986,227.0819,186.9354,0.9981,241.2407,172.0923,0.9994,249.4967,201.3051,0.9997,260.9628,181.2269,0.9998,274.5302,206.4560,0.9977
24,194.0598,160.8983,0.9996,211.3040,200.6939,0.9954,219.3732,173.8819,0.9980,239.3005,209.1583,0.9999,242.1156,184.3679,0.9986,256.0185,217.5728,0.9998,227.4073,151.3973,0.9985,227.2352,186.9246,0.9981,241.3175,172.0149,0.9995,249.5082,201.2061,0.9962,260.9680,181.1678,0.9998,274.5392,206.3488,0.9982
25,193.9432,160.6856,0.9984,211.2704,200.1223,0.9971,219.1192,173.7652,0.9989,239.0519,209.0411,0.9999,241.8628,184.2153,0.9993,255.7053,217.4660,0.9999,227.3259,151.2914,0.9989,226.9922,186.9460,0.9983,241.2418,171.9726,0.9995,249.1529,201.1971,0.9965,260.7003,181.1254,0.9954,274.3224,206.4476,0.9979
26,194.0154,160.7120,0.9982,211.3295,199.7201,0.9968,218.9566,173.8851,0.9992,238.9013,208.9680,1.0000,241.8345,184.1517,0.9994,255.5149,217.4305,0.9999,227.5533,151.3019,0.9983,227.2653,187.1137,0.9973,241.3850,172.0335,0.9994,249.1687,201.2955,0.9999,260.8215,181.1757,0.9947,274.1064,206.4998,0.9976
27,194.0850,160.6789,0.9983,211.3967,199.5185,0.9963,218.8650,173.9199,0.9994,238.7376,208.8321,1.0000,241.7659,184.0832,0.9995,255.3032,217.3243,1.0000,227.6844,151.3186,0.9978,227.3774,187.1442,0.9972,241.4300,171.9684,0.9995,249.0551,201.3506,0.9999,260.6516,181.1734,0.9965,273.8967,206.6423,0.9999
28,194.1965,160.5477,0.9987,211.7438,199.3500,0.9930,218.7739,173.8896,0.9995,238.6800,209.0274,1.0000,241.8721,184.0750,0.9994,254.9972,217.3208,1.0000,227.8598,151.2769,0.9971,227.7938,187.2802,0.9989,241.6208,172.1007,0.9992,249.0704,201.4034,0.9999,260.8198,181.2956,0.9953,273.9231,206.6417,0.9999
29,194.1722,160.8115,0.9976,211.5674,199.0343,0.9975,218.4884,173.9558,0.9996,238.3907,208.9396,1.0000,241.8756,184.0679,0.9994,254.6019,217.2732,0.9985,227.9333,151.3471,0.9998,227.7245,187.2746,0.9991,241.6640,172.0887,0.9992,248.9596,201.4841,0.9999,260.8289,181.4013,0.9953,273.8596,206.6504,1.0000
30,194.3324,160.5424,0.9989,211.9530,198.4729,0.9990,218.0704,173.7058,0.9999,238.3285,208.9310,1.0000,241.9269,183.8609,0.9993,254.0874,216.8501,0.9984,227.8155,151.1492,0.9972,227.3878,187.1764,0.9972,241.9521,171.7846,0.9986,249.0284,201.3192,0.9999,260.8509,181.1059,0.9946,274.1493,206.2171,0.9989
31,194.4979,160.5533,0.9988,211.8837,198.1294,0.9996,218.0240,173.6962,0.9999,238.3080,209.0133,1.0000,242.0018,183.8628,0.9992,253.8617,216.8520,0.9986,227.8116,151.1011,0.9973,226.8966,187.0617,0.9982,242.0271,171.8338,0.9984,248.8714,201.2872,0.9999,260.8724,181.0944,0.9946,274.0946,206.0417,0.9994
32,193.9128,160.4664,0.9996,211.1013,197.5574,0.9956,217.7599,174.1770,0.9996,237.3870,208.4324,0.9999,241.2938,183.7790,0.9999,253.8543,216.5274,0.9993,227.6966,151.0083,0.9990,225.3397,187.8108,0.9995,241.4982,172.1053,0.9993,248.3555,200.7849,0.9960,260.7661,180.8285,0.9970,273.8629,205.4042,0.9999
33,192.5366,160.7928,0.9977,210.5722,197.9691,0.9998,216.8196,173.8510,0.9995,237.2762,207.4350,0.9997,241.5584,183.1751,0.9992,253.8778,217.0248,0.9978,227.5902,150.9641,0.9991,225.4554,187.7548,0.9996,240.9892,171.7144,0.9998,247.6973,200.0417,0.9995,261.1258,180.5165,1.0000,274.0563,205.4447,0.9999
34,193.2442,160.4037,0.9995,209.3105,198.0874,0.9979,216.9380,173.1621,0.9996,237.8660,207.2118,0.9989,241.9975,182.7588,0.9990,254.0129,216.9281,0.9985,228.5356,151.0309,0.9998,226.2762,186.8822,0.9994,241.4200,171.3432,0.9945,248.1181,200.0092,0.9985,261.5605,180.4462,0.9999,274.4443,206.1757,0.9993
35,193.4556,159.9804,0.9998,209.3002,198.0251,0.9981,217.1372,173.0295,0.9966,237.9763,206.7244,0.9985,242.3741,182.6274,0.9999,253.8697,216.5796,0.9995,228.8396,150.9847,0.9996,226.8448,186.5154,0.9997,241.6869,170.9605,0.9978,248.2974,199.7340,0.9980,261.8980,180.5002,0.9998,274.3853,206.2939,0.9990
