scorer,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker
bodyparts,paw1LH,paw1LH,paw1LH,paw2LF,paw2LF,paw2LF,paw3RF,paw3RF,paw3RF,paw4RH,paw4RH,paw4RH
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,79.3011856079102,121.553047180176,0.999682128429413,309.247375488281,104.546714782715,0.999839305877686,225.553314208984,96.1853179931641,0.99986857175827,196.989318847656,90.5305099487305,0.998485684394836
1,79.3011856079102,121.553047180176,0.999682128429413,309.247375488281,104.546714782715,0.999839305877686,225.553314208984,96.1853179931641,0.99986857175827,196.989318847656,90.5305099487305,0.998485684394836
2,79.3011856079102,121.553047180176,0.999682128429413,309.247375488281,104.546714782715,0.999839305877686,225.553314208984,96.1853179931641,0.99986857175827,196.989318847656,90.5305099487305,0.998485684394836
3,75.1735153198242,121.429389953613,0.999992549419403,304.776000976562,109.113258361816,0.999850273132324,220.607604980469,94.2114410400391,0.999318599700928,206.978317260742,93.411994934082,0.998997569084168
4,71.1648406982422,124.239105224609,0.99921178817749,300.277618408203,105.541542053223,0.999733567237854,220.829620361328,95.8530120849609,0.997356951236725,214.244338989258,95.6539840698242,0.997993409633636
5,69.2063064575195,123.250076293945,0.99996143579483,294.985443115234,106.153678894043,0.999976515769958,222.229232788086,96.9850387573242,0.997213244438171,216.313888549805,97.8368682861328,0.996563255786896
6,66.7122268676758,121.481986999512,0.999534904956818,291.250091552734,105.118392944336,0.99956750869751,223.615112304687,98.3985290527344,0.996428787708282,220.633743286133,97.7546005249024,0.999624729156494
7,66.1979827880859,119.743179321289,0.999838173389435,286.375671386719,104.40071105957,0.999772012233734,223.66520690918,99.0739288330078,0.969624996185303,221.340972900391,98.3591918945313,0.99901670217514
8,67.3783950805664,118.348609924316,0.999908566474915,282.482208251953,103.239181518555,0.999703705310822,223.487014770508,98.7686309814453,0.960395336151123,222.133270263672,99.958625793457,0.997985064983368
9,68.2172546386719,115.821548461914,0.999043226242065,277.161407470703,101.869697570801,0.998922288417816,222.724182128906,98.6394424438477,0.98927241563797,217.366806030273,99.1308670043945,0.999929010868072
10,71.6379470825195,112.665809631348,0.99788761138916,270.878540039062,100.705146789551,0.997078239917755,222.251312255859,98.2802886962891,0.996604740619659,212.155288696289,99.4701614379883,0.999877095222473
11,77.4282760620117,107.673118591309,0.999510705471039,265.879455566406,101.153678894043,0.999746263027191,218.983978271484,97.0194396972656,0.995333194732666,207.305023193359,100.358459472656,0.998547196388245
12,79.2500610351563,104.761993408203,0.99707955121994,260.950408935547,99.1370391845703,0.999838829040527,223.602020263672,96.1556549072266,0.998047351837158,204.413757324219,99.9047088623047,0.999727249145508
13,91.2032012939453,95.5115127563477,0.978821814060211,257.800506591797,98.1587295532227,0.998425364494324,225.360305786133,95.1360397338867,0.996230006217956,202.427978515625,100.908950805664,0.999973297119141
14,95.5675582885742,93.8669509887695,0.998279690742493,252.999221801758,95.0371170043945,0.99984735250473,238.462356567383,89.6494598388672,0.994479954242706,199.162658691406,100.466537475586,0.998042523860931
15,101.725631713867,88.5984954833984,0.999257683753967,251.801803588867,95.9606018066406,0.999984502792358,246.643142700195,87.8033447265625,0.871692180633545,194.336608886719,99.2716293334961,0.999876201152802
16,101.352317810059,87.1287460327148,0.999577283859253,248.978851318359,95.4591903686523,0.999349415302277,262.58056640625,84.2951507568359,0.999162495136261,189.852645874023,100.167373657227,0.99959260225296
17,101.381378173828,83.7086791992187,0.995469927787781,248.401550292969,96.0646286010742,0.999894022941589,269.118682861328,86.0400161743164,0.999347150325775,187.21501159668,100.916404724121,0.999734342098236
18,101.544334411621,81.8044281005859,0.996009111404419,243.864456176758,98.634895324707,0.995715379714966,275.499633789062,88.5849304199219,0.999811112880707,183.502532958984,101.838493347168,0.998816609382629
19,98.4902725219727,79.8272018432617,0.950165927410126,238.361907958984,100.248115539551,0.994691967964172,279.184326171875,90.2107849121094,0.99859607219696,179.708648681641,102.543807983398,0.99841034412384
20,94.2273101806641,77.0360870361328,0.954309940338135,233.471725463867,100.970550537109,0.999615848064423,283.265167236328,90.9771118164062,0.99905252456665,175.609771728516,102.999351501465,0.99959397315979
21,93.2574920654297,76.4171600341797,0.922581315040588,228.786529541016,100.908988952637,0.999890148639679,286.716583251953,92.1494674682617,0.998692750930786,172.953323364258,103.415100097656,0.998540580272675
22,92.6764907836914,75.5132827758789,0.964422941207886,225.440505981445,101.067169189453,0.99994158744812,291.405303955078,92.9795227050781,0.999351024627686,168.365493774414,103.696891784668,0.997881829738617
23,178.101699829102,88.8880233764649,0.409912467002869,222.312652587891,101.442359924316,0.999365150928497,297.792541503906,91.1294021606445,0.998579978942871,165.605316162109,104.612670898438,0.999477624893188
24,178.73893737793,82.9600143432617,0.949043989181519,219.741882324219,99.8095550537109,0.998835921287537,302.393127441406,92.5921173095703,0.997711658477783,162.731979370117,104.005783081055,0.999468982219696
25,177.150894165039,81.677131652832,0.991875529289246,215.839691162109,101.342437744141,0.999518632888794,305.450836181641,92.1694946289063,0.998027741909027,160.482391357422,104.08984375,0.999950528144836
