scorer,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker
bodyparts,paw1LH,paw1LH,paw1LH,paw2LF,paw2LF,paw2LF,paw3RF,paw3RF,paw3RF,paw4RH,paw4RH,paw4RH
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,82.8968124389649,78.688980102539,0.999989449977875,301.111297607422,76.47805786132801,0.999734222888946,224.80012512207,125.39920043945301,0.998214662075043,207.186462402344,182.05087280273398,0.999688506126404
1,82.8968124389649,78.688980102539,0.999989449977875,301.111297607422,76.47805786132801,0.999734222888946,224.80012512207,125.39920043945301,0.998214662075043,207.186462402344,182.05087280273398,0.999688506126404
2,82.8968124389649,78.688980102539,0.999989449977875,301.111297607422,76.47805786132801,0.999734222888946,224.80012512207,125.39920043945301,0.998214662075043,207.186462402344,182.05087280273398,0.999688506126404
3,79.724006652832,79.102279663086,0.99994432926178,297.516967773437,73.34565734863301,0.998885154724121,220.47673034668,124.62365722656199,0.999977350234985,211.800109863281,179.907470703125,0.999859988689423
4,76.7109909057617,79.98246765136699,0.999190866947174,291.976257324219,71.31880187988301,0.999891221523285,216.755935668945,123.89181518554699,0.999786794185638,216.044067382813,178.66006469726602,0.999964594841003
5,74.696403503418,80.856628417969,0.999786376953125,287.284729003906,69.988586425781,0.999626696109772,214.006057739258,122.53012084960898,0.999367713928223,220.541656494141,175.84408569335898,0.9999760389328
6,73.5389251708984,82.169830322266,0.99995768070221,283.07470703125,67.133697509766,0.998062968254089,212.015563964844,122.22024536132801,0.99983137845993,220.894821166992,175.164581298828,0.999253749847412
7,71.2191772460938,82.25080871582,0.999825954437256,278.590087890625,66.00337219238301,0.999720692634582,211.482284545898,123.36032104492199,0.999801516532898,219.359268188477,174.563232421875,0.999867916107178
8,71.4065704345703,85.31678771972699,0.999471545219421,274.593627929687,64.854064941406,0.999964237213135,206.911056518555,122.00653076171898,0.999900758266449,219.051055908203,174.51303100585898,0.999945282936096
9,74.2217559814453,91.92648315429699,0.999935150146484,270.673370361328,63.339508056640994,0.999908626079559,213.492218017578,127.80114746093699,0.995345532894134,214.749114990234,174.36151123046898,0.999987900257111
10,74.4959335327148,94.51934814453102,0.999836564064026,266.899932861328,62.81726074218699,0.999971508979797,212.563598632812,130.70742797851602,0.971988201141357,211.051025390625,172.995086669922,0.999684154987335
11,79.7282409667969,102.76370239257801,0.999980032444,263.046600341797,62.78303527832,0.99982213973999,214.741165161133,158.57720947265602,0.851321578025818,207.570297241211,172.504516601563,0.999803364276886
12,86.455696105957,109.54779052734398,0.996098816394806,258.302612304688,63.052886962890994,0.999973952770233,226.402465820312,158.787139892578,0.881783485412598,204.868347167969,173.17791748046898,0.997908055782318
13,95.1807327270508,117.26132202148398,0.999778151512146,254.77734375,63.24885559082,0.999970078468323,233.976440429687,157.33438110351602,0.991431593894958,200.605773925781,173.23892211914102,0.99920254945755
14,100.718200683594,123.44198608398398,0.99996954202652,250.544540405273,63.35090637207,0.999214828014374,240.699630737305,159.880004882812,0.999353766441345,194.162261962891,174.570770263672,0.999754965305328
15,106.614295959473,126.20251464843699,0.99988842010498,247.284057617187,63.428634643555,0.999881148338318,246.932708740234,159.96771240234398,0.999950885772705,192.700241088867,174.18988037109398,0.999957621097565
16,114.024238586426,125.63171386718801,0.999917805194855,244.521057128906,63.558929443359006,0.999596416950226,253.599960327148,160.52783203125,0.999541819095612,188.689712524414,174.45571899414102,0.999956548213959
