scorer,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker
bodyparts,paw1LH,paw1LH,paw1LH,paw2LF,paw2LF,paw2LF,paw3RF,paw3RF,paw3RF,paw4RH,paw4RH,paw4RH
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,78.5473937988281,123.508247375488,0.998795211315155,306.204559326172,100.769027709961,0.99989253282547,223.238067626953,95.2118682861328,0.999503314495087,197.509658813477,88.5023193359375,0.999643921852112
1,78.5473937988281,123.508247375488,0.998795211315155,306.204559326172,100.769027709961,0.99989253282547,223.238067626953,95.2118682861328,0.999503314495087,197.509658813477,88.5023193359375,0.999643921852112
2,78.5473937988281,123.508247375488,0.998795211315155,306.204559326172,100.769027709961,0.99989253282547,223.238067626953,95.2118682861328,0.999503314495087,197.509658813477,88.5023193359375,0.999643921852112
3,75.1018295288086,122.287490844727,0.998757362365723,303.978210449219,103.538864135742,0.998141646385193,222.299438476562,93.9544219970703,0.99973464012146,209.184112548828,91.7545928955078,0.997298836708069
4,70.8921508789063,125.896453857422,0.996725022792816,300.750671386719,106.805435180664,0.997150003910065,220.80078125,95.8806304931641,0.999282360076904,214.499603271484,93.8197402954102,0.998710751533508
5,67.4433059692383,126.183212280273,0.999805212020874,296.989379882812,106.194725036621,0.99972540140152,222.653610229492,98.7747497558594,0.998811721801758,215.873886108398,96.8077850341797,0.99744188785553
6,65.6677703857422,125.681175231934,0.992349207401276,290.514373779297,104.395446777344,0.999876856803894,222.352264404297,97.7630233764648,0.999134004116058,218.824127197266,97.8827590942383,0.992489457130432
7,64.9906616210938,124.055435180664,0.991828978061676,286.335479736328,103.034721374512,0.999482035636902,224.521865844727,100.716453552246,0.997691214084625,219.275909423828,98.6466293334961,0.998961687088013
8,63.8582191467285,117.662208557129,0.976081371307373,281.682037353516,102.418045043945,0.999597072601318,225.441802978516,101.114791870117,0.998854041099548,217.658569335937,98.7324981689453,0.997317671775818
9,66.1015701293945,115.683685302734,0.994835913181305,276.294738769531,101.10871887207,0.999897003173828,222.927825927734,100.957725524902,0.991615891456604,215.828720092773,97.6365661621094,0.99931526184082
10,70.9679336547852,113.222778320313,0.996048510074616,272.348297119141,100.504768371582,0.996339082717896,220.834365844727,98.4755172729492,0.987707793712616,211.503051757813,98.3270568847656,0.999889135360718
11,74.5393829345703,110.069725036621,0.995118021965027,265.831146240234,100.366058349609,0.998605132102966,220.677551269531,98.0090942382813,0.996954083442688,208.676620483398,98.6033096313477,0.999729752540588
12,79.8957672119141,106.063613891602,0.999305069446564,261.166137695312,99.7465667724609,0.999651670455933,225.931076049805,96.5885391235352,0.977641999721527,205.610382080078,99.1356506347656,0.999960660934448
13,89.2917327880859,98.2713928222656,0.998245596885681,256.162689208984,98.4495468139648,0.999016106128693,227.77458190918,96.3135223388672,0.905086100101471,202.358062744141,99.7364730834961,0.999944150447845
14,95.2883911132813,94.5590515136719,0.99960869550705,252.976348876953,95.3176193237305,0.999971270561218,243.637512207031,89.1514587402344,0.933137893676758,197.92204284668,99.7856216430664,0.999589264392853
15,104.516716003418,89.7291259765625,0.999984204769134,252.075485229492,95.55810546875,0.99997091293335,258.391174316406,83.504508972168,0.937913835048676,195.15592956543,100.995002746582,0.999129652976989
16,106.672554016113,89.3176803588867,0.999454379081726,248.536880493164,95.5002670288086,0.999941885471344,264.652648925781,82.4841537475586,0.99748957157135,192.164276123047,101.226051330566,0.99934309720993
