scorer,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker
bodyparts,paw1LH,paw1LH,paw1LH,paw2LF,paw2LF,paw2LF,paw3RF,paw3RF,paw3RF,paw4RH,paw4RH,paw4RH
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,81.5245361328125,78.199768066406,0.999636828899384,297.5068359375,76.615081787109,0.999662101268768,224.804275512695,123.88702392578102,0.996110916137695,206.05241394043,182.130096435547,0.99928879737854
1,81.5245361328125,78.199768066406,0.999636828899384,297.5068359375,76.615081787109,0.999662101268768,224.804275512695,123.88702392578102,0.996110916137695,206.05241394043,182.130096435547,0.99928879737854
2,81.5245361328125,78.199768066406,0.999636828899384,297.5068359375,76.615081787109,0.999662101268768,224.804275512695,123.88702392578102,0.996110916137695,206.05241394043,182.130096435547,0.99928879737854
3,78.778694152832,79.148132324219,0.999957263469696,295.830383300781,73.897384643555,0.999768018722534,221.014221191406,123.84762573242199,0.997308433055878,212.830749511719,178.929412841797,0.999981105327606
4,76.0975646972656,79.37138366699199,0.999841153621674,292.12939453125,71.00314331054699,0.999965131282806,218.245620727539,126.30187988281199,0.994568288326263,217.509475708008,177.594696044922,0.999941289424896
5,73.5105133056641,79.42387390136699,0.999882519245148,287.586700439453,71.06033325195301,0.999844789505005,214.505432128906,125.36117553710898,0.997591972351074,218.289169311523,178.366455078125,0.998836636543274
6,72.7625732421875,81.12968444824199,0.999539911746979,282.980621337891,67.088562011719,0.998961389064789,212.032363891602,123.11355590820301,0.998712539672852,218.930709838867,177.58749389648398,0.999967813491821
7,72.1103363037109,83.780456542969,0.99961268901825,278.380645751953,66.32383728027301,0.998873114585876,210.909240722656,124.05813598632801,0.997365653514862,218.042816162109,175.464569091797,0.999936163425446
8,72.6171875,87.62016296386699,0.999059081077576,273.643310546875,64.86869812011699,0.999876499176025,210.219757080078,124.28302001953102,0.996914207935333,217.688400268555,175.042694091797,0.999743223190308
9,74.2841949462891,91.89929199218699,0.999801874160767,270.642578125,63.54917907714801,0.999358534812927,211.86442565918,128.76043701171898,0.999015867710114,214.242874145508,173.760375976562,0.997784316539764
10,74.5452117919922,93.36065673828102,0.999893426895142,266.097045898437,62.95280456543,0.999028086662292,213.540649414062,131.13720703125,0.998353838920593,209.821517944336,171.16586303710898,0.999814689159393
11,82.2767715454102,102.4794921875,0.999667167663574,263.109375,62.790283203125,0.999108552932739,215.462326049805,153.599731445312,0.855494737625122,206.684783935547,171.22686767578102,0.999731957912445
12,89.0028457641602,110.51550292968801,0.999741017818451,259.257873535156,63.41294860839801,0.999557912349701,227.187301635742,154.674194335938,0.940732181072235,203.547164916992,173.86602783203102,0.999983251094818
13,95.3078536987305,116.77374267578102,0.999989151954651,254.798278808594,62.80139160156199,0.998945534229279,231.478622436523,158.044952392578,0.990858674049377,200.194442749023,174.36337280273398,0.999180257320404
14,99.5519790649414,121.81384277343699,0.999424397945404,250.038177490234,63.035247802734006,0.999860405921936,239.708389282227,159.874298095703,0.999366521835327,197.319091796875,174.755126953125,0.999957978725433
15,106.3447265625,123.78463745117199,0.99998140335083,247.219879150391,63.34875488281199,0.999443590641022,246.097152709961,161.346221923828,0.999326467514038,193.649551391602,174.863037109375,0.99923849105835
16,113.749305725098,124.24176025390602,0.999913692474365,243.873657226563,64.34255981445301,0.999943614006042,253.383728027344,159.648681640625,0.99962592124939,189.374771118164,174.74151611328102,0.99877804517746
