scorer,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker,heatmap_mhcrnn_tracker
bodyparts,pupil_top_r,pupil_top_r,pupil_top_r,pupil_right_r,pupil_right_r,pupil_right_r,pupil_bottom_r,pupil_bottom_r,pupil_bottom_r,pupil_left_r,pupil_left_r,pupil_left_r
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,55.53398132324219,43.37211990356445,0.9998599290847778,64.73583984375,51.24848556518555,0.999833643436432,56.79931640625,61.39275360107422,0.9999626278877258,45.2364501953125,52.42030715942383,0.999675750732422
1,55.53398132324219,43.37211990356445,0.9998599290847778,64.73583984375,51.24848556518555,0.999833643436432,56.79931640625,61.39275360107422,0.9999626278877258,45.2364501953125,52.42030715942383,0.999675750732422
2,55.53398132324219,43.37211990356445,0.9998599290847778,64.73583984375,51.24848556518555,0.999833643436432,56.79931640625,61.39275360107422,0.9999626278877258,45.2364501953125,52.42030715942383,0.999675750732422
3,55.52986907958984,42.932395935058594,0.9996128082275392,64.89453125,51.2082633972168,0.9993623495101928,56.87373733520508,61.45092391967773,0.9999499320983888,45.40885543823242,52.239288330078125,0.9997166991233826
4,55.58146286010742,42.85883712768555,0.9997172355651855,64.79816436767578,51.25569152832031,0.999609112739563,56.78187561035156,61.37353897094727,0.9999823570251464,45.30214691162109,52.202754974365234,0.9998404383659364
5,55.50727844238281,42.89523315429688,0.9997625946998596,64.74235534667969,51.01587677001953,0.998984396457672,56.874473571777344,61.350833892822266,0.999942183494568,45.78110122680664,52.22833251953125,0.9999406337738036
6,55.326473236083984,43.45942306518555,0.9999659657478333,64.44450378417969,51.31373596191406,0.9954034090042114,56.494476318359375,60.98612594604492,0.9984893202781676,45.84727478027344,52.14272689819336,0.9999430775642396
7,55.53777694702149,42.87660217285156,0.9997510313987732,65.36851501464844,51.08882141113281,0.9985050559043884,56.51056671142578,60.9598388671875,0.9987926483154296,45.70386505126953,52.03861618041992,0.9999579787254332
